Gene,Start,End,Strand
argR,3384703,3385173,+
argS,1960062,1961795,+
argT,2427009,2427791,-
argU,564723,564799,+
argV,2818473,2818549,-
argW,2466309,2466383,+
argX,3982375,3982451,+
argY,2818198,2818274,-
argZ,2818059,2818135,-
ariR,1216369,1216635,+
arnA,2368039,2370021,+
arnB,2365910,2367067,+
arnC,2367071,2368039,+
arnD,2370018,2370908,+
arnE,2372557,2372892,+
arnF,2372892,2373278,+
arnT,2370908,2372560,+
aroA,958812,960095,+
aroB,3517398,3518486,-
aroC,2446388,2447473,-
aroD,1774686,1775444,+
aroE,3430020,3430838,-
aroF,2740080,2741150,-
aroG,785633,786685,+
aroH,1788435,1789481,+
aroK,3518543,3519064,-
aroL,406405,406929,+
aroM,407428,408105,+
aroP,120178,121551,-
arpA,4220301,4222487,-
arpB,1803094,1804993,+
arrS,3657985,3658054,-
arsB,3648935,3650224,+
arsC,3650237,3650662,+
arsR,3648528,3648881,+
artI,902257,902988,-
artJ,899844,900575,-
artM,900866,901534,-
artP,903006,903734,-
artQ,901534,902250,-
ascB,2840990,2842414,+
ascF,2839524,2840981,+
ascG,2838254,2839264,-
asd,3573775,3574878,-
aslA,3984352,3986007,-
aslB,3982958,3984193,+
asmA,2139759,2141612,-
asnA,3927155,3928147,+
asnB,697513,699177,-
asnC,3926545,3927003,-
asnS,987585,988985,-
asnT,2044549,2044624,+
asnU,2059851,2059926,+
asnV,2062260,2062335,+
asnW,2058027,2058102,-
aspA,4366891,4368327,-
aspC,984519,985709,-
aspS,1948750,1950522,-
aspT,3946872,3946948,+
aspU,228928,229004,+
aspV,236931,237007,+
aspX,4366839,4366951,-
asr,1671376,1671684,+
astA,1829731,1830765,-
astB,1826916,1828259,-
astC,1830762,1831982,-
astD,1828256,1829734,-
astE,1825955,1826923,-
atoA,2324109,2324759,+
atoB,2326109,2327293,+
atoC,2321866,2323251,+
atoD,2323447,2324109,+
atoE,2324756,2326078,+
atoS,2320043,2321869,+
atpA,3918316,3919857,-
atpB,3921236,3922051,-
atpC,3915553,3915972,-
atpD,3915993,3917375,-
atpE,3920950,3921189,-
atpF,3920418,3920888,-
atpG,3917402,3918265,-
atpH,3919870,3920403,-
atpI,3922060,3922440,-
avtA,3739705,3740958,+
azoR,1482255,1482860,-
azuC,1987873,1987959,-
bacA,3203310,3204131,-
baeR,2164276,2164998,+
baeS,2162876,2164279,+
bamA,197928,200360,+
bamB,2637474,2638652,-
bamC,2597831,2598865,-
bamD,2736146,2736883,+
bamE,2753605,2753946,+
barA,2915057,2917813,+
basR,4333282,4333950,-
basS,4332181,4333272,-
bax,3736353,3737177,-
baxL,3737177,3737203,-
bcp,2600478,2600948,+
bcr,2278570,2279760,-
bcsA,3692618,3695236,-
bcsB,3690268,3692607,-
bcsC,3685700,3689173,-
bcsE,3696458,3698029,+
bcsF,3698026,3698217,+
bcsG,3698214,3699893,+
bcsQ,3695233,3695985,-
bcsZ,3689155,3690261,-
bdcA,4473340,4474053,-
bdcR,4474124,4474717,+
bdm,1556065,1556280,-
beeE,1205731,1206204,+
bepA,2616094,2617557,+
betA,325577,327247,-
betB,327261,328733,-
betI,328747,329334,-
betT,329463,331496,+
bfd,3466797,3466991,-
bfr,3466249,3466725,-
bglA,3043662,3045101,+
bglB,3902289,3903701,-
bglF,3903720,3905597,-
bglG,3905731,3906567,-
bglH,3900604,3902220,-
bglJ,4604160,4604837,+
bglX,2219692,2221989,-
bhsA,1169073,1169330,+
bhsB,1169303,1169402,+
bidA,1666524,1667219,-
bioA,807968,809257,-
bioB,809344,810384,+
bioC,811522,812277,+
bioD,812270,812947,+
bioF,810381,811535,+
bioH,3544074,3544844,-
bioP,4011076,4011975,+
bipA,4058407,4060230,+
birA,4173082,4174047,+
bisC,3714061,3716394,-
blc,4377189,4377722,-
blr,1704551,1704676,+
bluF,1214264,1215475,-
bluR,1213328,1214059,-
bolA,454472,454789,+
borD,578600,578893,-
brnQ,419591,420910,+
bsmA,4416441,4416770,-
bssR,878248,878631,+
bssS,1120701,1120955,-
btsR,2212243,2212962,-
btsS,2212959,2214644,-
btsT,4589129,4591279,-
btuB,4163639,4165483,+
btuC,1794172,1795152,-
btuD,1792809,1793558,-
btuE,1793558,1794109,-
btuF,177662,178462,-
btuR,1327767,1328357,-
cadA,4356470,4358617,-
cadB,4358697,4360031,-
cadC,4360396,4361934,-
caiA,39244,40386,-
caiB,37898,39115,-
caiC,36271,37824,-
caiD,35377,36162,-
caiE,34781,35371,-
caiF,34300,34695,+
caiT,40417,41931,-
can,142008,142670,-
carA,29651,30799,+
carB,30817,34038,+
cas1,2878855,2879772,-
cas2,2878569,2878853,-
cas3,2884553,2887219,-
casA,2882630,2884138,-
casB,2882155,2882637,-
casC,2881051,2882142,-
casD,2880374,2881048,-
casE,2879788,2880387,-
cbeA,2077112,2077480,+
cbl,2059964,2060914,-
cbpA,1062855,1063775,-
cbpM,1062550,1062855,-
cbrA,3869377,3870441,+
cbrB,3897506,3897973,+
cbrC,3898022,3898609,+
cbtA,2077569,2077943,+
cca,3201891,3203129,+
ccmA,2297021,2297644,-
ccmB,2296362,2297024,-
ccmC,2295583,2296320,-
ccmD,2295377,2295586,-
ccmE,2294901,2295380,-
ccmF,2292961,2294904,-
ccmG,2292407,2292964,-
ccmH,2291358,2292410,-
ccp,3667791,3669188,-
cdaR,182463,183620,+
cdd,2231844,2232728,+
cdgI,1870385,1871860,+
cdh,4109930,4110685,+
cdsA,195677,196534,+
cecR,829972,830643,-
cedA,1813421,1813663,-
cfa,1741413,1742561,+
chaA,1270749,1271849,-
chaB,1272119,1272349,+
chaC,1272507,1273202,+
chbA,1819455,1819805,-
chbB,1821299,1821619,-
chbC,1819856,1821214,-
chbF,1817148,1818500,-
chbG,1816386,1817135,-
chbR,1818605,1819447,-
cheA,1973360,1975324,-
cheB,1967452,1968501,-
cheR,1968504,1969364,-
cheW,1972836,1973339,-
cheY,1967048,1967437,-
cheZ,1966393,1967037,-
chiA,3467160,3469853,-
chiP,708334,709740,+
chiQ,709790,710116,+
chiX,507204,507287,+
chiZ,708236,708333,+
cho,1823515,1824402,+
chpB,4448692,4449042,+
chpS,4448447,4448698,+
cirA,2244778,2246769,-
citC,650798,651856,-
citD,650487,650783,-
citE,649582,650490,-
citF,648039,649571,-
citG,646631,647509,-
citT,645117,646580,-
citX,647484,648035,-
clcA,175107,176528,+
clcB,1665315,1666571,+
clpA,923264,925540,+
clpB,2731600,2734173,-
clpP,456677,457300,+
clpS,922913,923233,+
clpX,457426,458700,+
clsA,1307185,1308645,-
clsB,822498,823739,-
clsC,1106355,1107776,+
cmk,961201,961884,+
cmoA,1952702,1953445,+
cmoB,1953442,1954413,+
cmoM,973537,974322,+
cmtA,3077471,3078859,-
cmtB,3078887,3079330,-
cnoX,517425,518279,-
cnu,1704949,1705164,+
coaA,4174076,4175026,-
coaD,3809825,3810304,+
coaE,112599,113219,-
cobB,1179520,1180359,+
cobC,669296,669907,-
cobS,2064479,2065222,-
cobT,2063388,2064467,-
cobU,2065219,2065764,-
codA,356171,357454,+
codB,354922,356181,+
cof,467412,468230,+
comR,1168200,1168832,-
copA,508875,511379,-
corA,4001426,4002376,+
cpdA,3176006,3176833,-
cpdB,4434622,4436565,-
cpoB,779598,780389,+
cpsB,2123084,2124520,-
cpsG,2121609,2122979,-
cpxA,4103602,4104975,-
cpxP,4105820,4106320,+
cpxQ,4106330,4106387,+
cpxR,4104972,4105670,-
cra,88028,89032,+
crcB,657555,657938,-
creA,4635521,4635994,+
creB,4636007,4636696,+
creC,4636696,4638120,+
creD,4638178,4639530,+
crl,257829,259006,+
crp,3486120,3486752,+
crr,2535834,2536343,+
csdA,2943337,2944542,+
csdE,2944542,2944985,+
csgA,1104447,1104902,+
csgB,1103951,1104406,+
csgC,1104961,1105293,+
csgD,1102546,1103196,-
csgE,1102152,1102541,-
csgF,1101711,1102127,-
csgG,1100851,1101684,-
csiE,2665435,2666715,+
cspA,3720049,3720261,+
cspB,1641339,1641554,-
cspC,1907226,1907435,-
cspD,922366,922590,-
cspE,657292,657501,+
cspF,1641855,1642067,+
cspG,1051461,1051673,+
cspH,1050963,1051175,-
cspI,1638455,1638667,-
csqR,4074669,4075454,+
csrA,2818961,2819146,-
csrB,2924156,2924524,-
csrC,4051036,4051281,+
csrD,3401392,3403332,-
cstA,629894,631999,+
cueO,137083,138633,+
cueR,513993,514400,+
curA,1519027,1520064,+
cusA,598714,601857,+
cusB,597479,598702,+
cusC,595600,596973,+
cusF,597131,597463,+
cusR,594760,595443,-
cusS,593328,594770,-
cutA,4365018,4365356,-
cutC,1958520,1959266,-
cvpA,2430275,2430763,-
cvrA,1240335,1242071,-
cyaA,3991153,3993699,+
cyaR,2167114,2167200,+
cyaY,3993739,3994059,-
cybB,1490902,1491432,+
cybC,4459488,4459855,+
cycA,4429864,4431276,+
cydA,771458,773026,+
cydB,773042,774181,+
cydC,927474,929195,-
cydD,929196,930962,-
cydH,1737456,1737545,-
cydX,774196,774309,+
cynR,357791,358690,-
cynS,359489,359959,+
cynT,358799,359458,+
cynX,359992,361146,+
cyoA,450663,451610,-
cyoB,448650,450641,-
cyoC,448046,448660,-
cyoD,447717,448046,-
cyoE,446815,447705,-
cysA,2539717,2540814,-
cysB,1333855,1334829,+
cysC,2873387,2873992,-
cysD,2875421,2876329,-
cysE,3781741,3782562,-
cysG,3497828,3499201,+
cysH,2887578,2888312,-
cysI,2888387,2890099,-
cysJ,2890099,2891898,-
cysK,2532409,2533380,+
cysM,2538672,2539583,-
cysN,2873992,2875419,-
cysP,2542512,2543528,-
cysQ,4436755,4437495,+
cysS,554611,555996,+
cysT,1991914,1991987,-
cysU,2541679,2542512,-
cysW,2540804,2541679,-
cysZ,2531463,2532224,+
cytR,4123431,4124456,-
cyuA,3255341,3256651,-
cyuP,3256679,3258010,-
dacA,662752,663963,-
dacB,3328963,3330396,+
dacC,880727,881929,+
dacD,2081381,2082547,-
dadA,1237571,1238869,+
dadX,1238879,1239949,+
dam,3515077,3515913,-
damX,3516020,3517306,-
dapA,2598882,2599760,-
dapB,28374,29195,+
dapD,185123,185947,-
dapE,2591607,2592734,+
dapF,3994762,3995586,+
dauA,1259124,1260803,-
dbpA,1409511,1410884,+
dcd,2141634,2142215,-
dcm,2030899,2032317,-
dcp,1625335,1627380,-
dcrB,3609955,3610512,+
dctA,3682161,3683447,-
dctR,3654683,3655213,+
dcuA,4365472,4366773,-
dcuB,4347404,4348744,-
dcuC,654583,655968,-
dcuD,3374869,3376236,+
dcuR,4349315,4350034,-
dcuS,4350031,4351662,-
dcyD,1998494,1999480,-
ddlA,399829,400923,-
ddlB,102233,103153,+
ddpA,1560931,1562481,-
ddpB,1559907,1560929,-
ddpC,1559014,1559910,-
ddpD,1558031,1559017,-
ddpF,1557112,1558038,-
ddpX,1562495,1563076,-
deaD,3305971,3307860,-
decR,468383,468841,+
dedA,2434082,2434741,-
dedD,2431022,2431684,-
def,3433690,3434199,+
degP,180884,182308,+
degQ,3380743,3382110,+
degS,3382200,3383267,+
deoA,4618229,4619551,+
deoB,4619603,4620826,+
deoC,4617323,4618102,+
deoD,4620883,4621602,+
deoR,881976,882734,-
der,2635884,2637356,-
dfp,3812731,3813951,+
dgcC,403703,404818,+
dgcE,2143266,2146583,+
dgcF,1610907,1611854,-
dgcI,875335,876663,+
dgcJ,1872041,1873531,+
dgcM,1406563,1407795,-
dgcN,2742383,2743609,+
dgcP,1877715,1878740,+
dgcQ,2026323,2028017,-
dgcT,1092876,1094234,+
dgcZ,1622960,1623850,-
dgkA,4256637,4257005,+
dgoA,3872995,3873612,-
dgoD,3871850,3872998,-
dgoK,3873596,3874474,-
dgoR,3874471,3875160,-
dgoT,3870438,3871730,-
dgt,179237,180754,+
dhaK,1249768,1250838,-
dhaL,1249125,1249757,-
dhaM,1247696,1249114,-
dhaR,1251066,1252985,+
diaA,3295809,3296399,+
dicA,1647934,1648341,+
dicB,1649609,1649797,+
dicC,1647620,1647850,-
dicF,1649382,1649434,+
digH,1567504,1568823,-
dinB,250898,251953,+
dinD,3817760,3818584,+
dinF,4257742,4259121,+
dinG,833070,835220,+
dinI,1121242,1121487,-
dinJ,246242,246502,-
dinQ,3647705,3647788,-
djlA,57364,58179,+
djlB,677415,678842,+
djlC,680212,681663,+
dkgA,3156623,3157450,+
dkgB,229167,229970,+
dksA,160149,160604,-
dld,2222185,2223900,+
dmlA,1881912,1882997,+
dmlR,1880886,1881809,-
dmsA,940959,943403,+
dmsB,943414,944031,+
dmsC,944033,944896,+
dmsD,1664506,1665120,+
dnaA,3882326,3883729,-
dnaB,4264314,4265729,+
dnaC,4600238,4600975,-
dnaE,205126,208608,+
dnaG,3211107,3212852,+
dnaJ,14168,15298,+
dnaK,12163,14079,+
dnaN,3881221,3882321,-
dnaQ,236067,236798,+
dnaT,4600978,4601517,-
dnaX,492092,494023,+
dolP,3296409,3296984,+
dosC,1565758,1567140,-
dosP,1563334,1565733,-
dpaA,245065,245805,-
dpiA,653862,654542,+
dpiB,652235,653893,+
dppA,3706098,3707705,-
dppB,3704771,3705790,-
dppC,3703859,3704761,-
dppD,3702865,3703848,-
dppF,3701864,3702868,-
dps,848408,848911,-
drpB,2033119,2033421,-
dsbA,4043418,4044044,+
dsbB,1232500,1233030,-
dsbC,3038112,3038822,-
dsbD,4363345,4365042,-
dsbG,637827,638573,-
dsdA,2479202,2480530,+
dsdC,2476694,2477629,-
dsdX,2477847,2479184,+
dsrA,2025223,2025313,-
dsrB,2024635,2024823,-
dtd,4077015,4077452,+
dtpA,1712769,1714271,+
dtpB,3640862,3642331,+
dtpC,4354954,4356411,-
dtpD,741075,742556,-
dusA,4261669,4262706,+
dusB,3410280,3411245,+
dusC,2229438,2230385,-
dut,3813929,3814387,+
dxr,193521,194717,+
dxs,438315,440177,-
eaeH,314357,315244,+
eamA,1620238,1621137,-
eamB,2715423,2716010,+
ebgA,3222633,3225725,+
ebgC,3225722,3226171,+
ebgR,3221466,3222449,+
ecnA,4376317,4376442,+
ecnB,4376553,4376699,+
eco,2303905,2304393,+
ecpA,310084,310671,-
ecpB,309358,310026,-
ecpC,306807,309332,-
ecpD,305174,306817,-
ecpE,304495,305205,-
eda,1932115,1932756,-
edd,1932793,1934604,-
efeB,1083376,1084647,+
efeO,1082243,1083370,+
efeU,1081356,1082185,+
efp,4375699,4376265,+
elaA,2381082,2381543,-
elaB,2380722,2381027,-
elaD,2382713,2383924,+
elbB,3349806,3350459,-
elfA,997868,998407,+
elfC,999216,1001816,+
elfD,998490,999191,+
elfG,1001807,1002877,+
elyC,972622,973401,-
emrA,2811427,2812599,+
emrB,2812616,2814154,+
emrD,3853922,3855106,+
emrE,568315,568647,+
emrK,2482176,2483339,-
emrY,2480638,2482176,-
emtA,1243180,1243791,+
endA,3090347,3091054,+
eno,2906643,2907941,-
entA,628551,629297,+
entB,627694,628551,+
entC,624885,626060,+
entD,609459,610079,-
entE,626070,627680,+
entF,614157,618038,+
entH,629300,629713,+
entS,622300,623550,+
envC,3786838,3788097,+
envR,3412803,3413465,-
envY,586147,586908,-
envZ,3534516,3535868,-
epd,3072672,3073691,-
epmA,4382643,4383620,+
epmB,4374629,4375657,-
epmC,2444203,2444751,-
eptA,4333947,4335590,-
eptB,3708784,3710475,-
eptC,4148532,4150265,-
era,2702481,2703386,-
erpA,176610,176954,+
esrE,4019978,4020229,+
essD,577398,577613,+
essQ,1640370,1640585,-
etk,1042030,1044210,-
etp,1044230,1044676,-
ettA,4628855,4630522,-
eutA,2565481,2566884,-
eutB,2557318,2558679,-
eutC,2556410,2557297,-
eutD,2572489,2573505,-
eutE,2570348,2571751,-
eutG,2568324,2569511,-
eutH,2566881,2568107,-
eutJ,2569501,2570337,-
eutK,2555228,2555728,-
eutL,2555741,2556400,-
eutM,2572157,2572450,-
eutN,2571763,2572050,-
eutP,2574978,2575457,-
eutQ,2574302,2575003,-
eutR,2554130,2555182,-
eutS,2575470,2575805,-
eutT,2573502,2574305,-
evgA,2483755,2484369,+
evgL,2483729,2483758,+
evgS,2484374,2487967,+
exbB,3151250,3151984,-
exbD,3150818,3151243,-
exoD,566098,566361,-
exoX,1926120,1926782,+
exuR,3246652,3247428,+
exuT,3245224,3246522,+
eyeA,272580,272654,+
fabA,1015952,1016470,-
fabB,2440385,2441605,-
fabD,1149728,1150657,+
fabF,1151939,1153180,+
fabG,1150670,1151404,+
fabH,1148759,1149712,+
fabI,1350251,1351039,-
fabR,4161067,4161771,+
fabY,4077449,4078438,+
fabZ,202101,202556,+
fadA,4027609,4028772,-
fadB,4028782,4030971,-
fadD,1888061,1889746,-
fadE,240859,243303,-
fadH,3231665,3233683,+
fadI,2459159,2460469,-
fadJ,2457015,2459159,-
fadK,1782977,1784677,+
fadL,2461306,2462646,+
fadM,464402,464800,+
fadR,1234938,1235657,+
fau,3056241,3056789,+
fbaA,3070165,3071244,-
fbaB,2177512,2178564,-
fbp,4454611,4455609,-
fcl,2126225,2127190,-
fdhD,4086016,4086849,+
fdhE,4080299,4081228,-
fdhF,4297219,4299366,-
fdnG,1547401,1550448,+
fdnH,1550461,1551345,+
fdnI,1551338,1551991,+
fdoG,4082772,4085822,-
fdoH,4081857,4082759,-
fdoI,4081225,4081860,-
fdrA,546680,548347,+
fdx,2656748,2657083,-
feaB,1447519,1449018,+
feaR,1446378,1447283,-
fecA,4514353,4516677,-
fecB,4513406,4514308,-
fecC,4512411,4513409,-
fecD,4511458,4512414,-
fecE,4510690,4511457,-
fecI,4517714,4518235,-
fecR,4516764,4517717,-
feoA,3540163,3540390,+
feoB,3540407,3542728,+
feoC,3542728,3542964,+
fepA,610254,612494,-
fepB,623554,624510,-
fepC,619384,620199,-
fepD,621185,622189,-
fepE,618254,619387,+
fepG,620196,621188,-
fes,612737,613939,+
fetA,515919,516596,+
fetB,516583,517362,+
ffh,2746434,2747795,-
ffs,476448,476561,+
fhlA,2854338,2856416,+
fhuA,167484,169727,+
fhuB,171462,173444,+
fhuC,169778,170575,+
fhuD,170575,171465,+
fhuE,1159362,1161551,-
fhuF,4604875,4605663,-
fic,3490861,3491463,-
fieF,4106469,4107371,+
fimA,4543115,4543663,+
fimB,4540957,4541559,+
fimC,4544304,4545029,+
fimD,4545096,4547732,+
fimE,4542037,4542633,+
fimF,4547742,4548272,+
fimG,4548285,4548788,+
fimH,4548808,4549710,+
fimI,4543728,4544267,+
fimZ,563848,564480,-
fis,3411271,3411567,+
fiu,839249,841531,-
fixA,42403,43173,+
fixB,43188,44129,+
fixC,44180,45466,+
fixX,45463,45750,+
fklB,4428935,4429555,+
fkpA,3476607,3477419,-
fkpB,25826,26275,+
fldA,710935,711465,-
fldB,3039855,3040376,+
flgA,1130204,1130863,-
flgB,1131018,1131434,+
flgC,1131438,1131842,+
flgD,1131854,1132549,+
flgE,1132574,1133782,+
flgF,1133802,1134557,+
flgG,1134729,1135511,+
flgH,1135564,1136262,+
flgI,1136274,1137371,+
flgJ,1137371,1138312,+
flgK,1138378,1140021,+
flgL,1140033,1140986,+
flgM,1129835,1130128,-
flgN,1129414,1129830,-
flgO,1140986,1141063,+
flhA,1962972,1965050,-
flhB,1965043,1966191,-
flhC,1977266,1977844,-
flhD,1977847,1978197,-
flhE,1962580,1962972,-
fliA,2001070,2001789,-
fliC,2002110,2003606,-
fliD,2003872,2005278,+
fliE,2012700,2013014,-
fliF,2013229,2014887,+
fliG,2014880,2015875,+
fliH,2015868,2016554,+
fliI,2016554,2017927,+
fliJ,2017946,2018389,+
fliK,2018386,2019513,+
fliL,2019618,2020082,+
fliM,2020087,2021091,+
fliN,2021088,2021501,+
fliO,2021504,2021869,+
fliP,2021869,2022606,+
fliQ,2022616,2022885,+
fliR,2022893,2023678,+
fliS,2005303,2005713,+
fliT,2005713,2006078,+
fliX,2001912,2002106,-
fliZ,2000473,2001024,-
flk,2437950,2438945,+
flu,2071539,2074658,+
flxA,1646405,1646737,+
fmt,3434214,3435161,+
fnr,1398774,1399526,-
fnrS,1409129,1409250,+
focA,953609,954466,-
focB,2613934,2614782,+
folA,49823,50302,+
folB,3204221,3204589,-
folC,2431674,2432942,-
folD,556875,557741,-
folE,2242984,2243652,-
folK,157253,157732,-
folM,1680976,1681698,+
folP,3324063,3324911,-
folX,2421325,2421687,+
fpr,4113726,4114472,-
frc,2492004,2493254,-
frdA,4380510,4382318,-
frdB,4379783,4380517,-
frdC,4379377,4379772,-
frdD,4379007,4379366,-
fre,4026527,4027228,+
frlA,3499910,3501247,+
frlB,3501268,3502290,+
frlC,3502340,3503170,+
frlD,3503167,3503952,+
frlR,3504052,3504783,+
frmA,378462,379571,-
frmB,377535,378368,-
frmR,379606,379881,-
frr,192872,193429,+
frsA,256527,257771,+
fruA,2259719,2261410,-
fruB,2262365,2263495,-
fruK,2261427,2262365,-
frvA,4092377,4092823,-
frvB,4090915,4092366,-
frvR,4088107,4089855,-
frvX,4089855,4090925,-
frwB,4143624,4143944,+
frwC,4142530,4143609,+
frwD,4147138,4147479,+
fryA,2501990,2504485,-
fryB,2507916,2508242,-
fryC,2506647,2507894,-
fsaA,863642,864304,+
fsaB,4139046,4139708,-
fsr,503476,504696,-
ftnA,1988716,1989213,+
ftnB,1986925,1987428,+
ftp,2310479,2311534,-
ftsA,103982,105244,+
ftsB,2872509,2872820,-
ftsE,3602079,3602747,-
ftsH,3325001,3326935,-
ftsI,91413,93179,+
ftsK,933224,937213,+
ftsL,91032,91397,+
ftsN,4122380,4123339,-
ftsO,92485,92658,+
ftsP,3161257,3162669,-
ftsQ,103155,103985,+
ftsW,98403,99647,+
ftsX,3601028,3602086,-
ftsY,3602750,3604243,-
ftsZ,105305,106456,+
fucA,2933041,2933688,-
fucI,2935584,2937359,+
fucK,2937468,2938886,+
fucO,2931865,2933013,-
fucP,2934235,2935551,+
fucR,2939368,2940099,+
fucU,2938888,2939310,+
fumA,1686731,1688377,-
fumB,4345680,4347326,-
fumC,1685185,1686588,-
fumD,1754932,1755141,-
fumE,3074686,3075195,-
fur,710200,710646,-
fusA,3471400,3473514,-
fxsA,4368664,4369140,+
gabD,2791273,2792721,+
gabP,2794253,2795653,+
gabT,2792735,2794015,+
gadA,3666180,3667580,-
gadB,1570645,1572045,-
gadC,1568954,1570489,-
gadE,3658366,3658893,+
gadF,3658992,3659082,+
gadW,3663890,3664618,-
gadX,3664986,3665810,-
gadY,3664864,3664969,+
galE,791039,792055,-
galF,2113434,2114327,-
galK,788831,789979,-
galM,787797,788837,-
galP,3088284,3089678,+
galR,2976599,2977630,+
galS,2240628,2241668,-
galT,789983,791029,-
galU,1291457,1292365,+
gapA,1862771,1863766,+
gapC,1489713,1490713,-
garD,3275282,3276853,+
garK,3270625,3271770,-
garL,3272787,3273557,-
garP,3273573,3274907,-
garR,3271867,3272751,-
gatA,2174597,2175049,-
gatB,2174282,2174566,-
gatC,2172921,2174278,-
gatD,2171833,2172873,-
gatR,2169693,2171727,-
gatY,2176350,2177204,-
gatZ,2175059,2176321,-
gcd,138835,141225,-
gcl,533916,535697,+
gcvA,2941650,2942567,-
gcvB,2942696,2942901,+
gcvH,3049160,3049549,-
gcvP,3046168,3049041,-
gcvR,2599906,2600478,+
gcvT,3049573,3050667,-
gdhA,1842371,1843714,+
gdx,4376875,4377192,+
gfcA,1049439,1049744,-
gfcB,1048688,1049332,-
gfcC,1047945,1048691,-
gfcD,1045849,1047945,-
gfcE,1044664,1045803,-
ggt,3585081,3586823,-
ghoS,4352584,4352880,+
